OriginPage	LinkToPage	LinkToPageStatus	LinkToPageTitle	OriginPageDate	OriginPageTitle
http://todomvc.com/	https://twitter.com/share	ok		02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/backbone	ok	Backbone.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/angularjs	ok	AngularJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/emberjs	ok	Ember.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/knockoutjs	ok	KnockoutJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/dojo	ok	Dojo	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/knockback	ok	Knockback.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/canjs	ok	CanJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/polymer/index.html	ok	Polymer • TodoMVC	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/react	ok	React	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/mithril	ok	Mithril	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/vue	ok	Vue.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/backbone_marionette	ok	Marionette.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/kotlin-react	ok	Kotlin + React	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/spine	ok	Spine	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/vanilladart/build/web	ok	Dart	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/gwt	ok	GWT	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/closure	ok	Closure	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/elm	ok	Elm	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/angular-dart/web	ok	AngularDart	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/typescript-backbone	ok	TypeScript <br>+ Backbone.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/typescript-angular	ok	TypeScript <br>+ AngularJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/typescript-react	ok	TypeScript <br>+ React	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/reagent	ok	Reagent	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/scalajs-react	ok	Scala.js + React	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/binding-scala	ok	Scala.js + Binding.scala	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/js_of_ocaml	ok	js_of_ocaml	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/humble	not found	Humble + GopherJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/backbone_require	ok	Backbone.js + RequireJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/knockoutjs_require	ok	KnockoutJS + RequireJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/angularjs_require	ok	AngularJS + RequireJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/canjs_require	ok	CanJS + RequireJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/lavaca_require	ok	Lavaca + RequireJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/cujo/index.html	ok	cujo • TodoMVC	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/sammyjs	ok	Sammy.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/somajs	not found	soma.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/duel/www	ok	DUEL	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/kendo	ok	Kendo UI	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/dijon	ok	Dijon	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/enyo_backbone	ok	Enyo +<br>Backbone.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/sapui5	ok	SAPUI5	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/exoskeleton	ok	Exoskeleton	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/ractive	ok	Ractive.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/react-alt	ok	React + Alt	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/react-backbone	ok	React + <br>Backbone.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/aurelia	ok	Aurelia	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/angular2	ok	Angular 2.0	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/riotjs	ok	Riot	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/jsblocks	ok	JSBlocks	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc-socketstream.herokuapp.com/	ok	SocketStream	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/firebase-angular	ok	Firebase + AngularJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://gcloud-todos.appspot.com/	ok	Express + gcloud-node	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/vanillajs	ok	Vanilla JS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/vanilla-es6	ok	Vanilla ES6	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/jquery	ok	jQuery	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/site-assets/screenshot.png	ok	Todo app screenshot	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/atmajs	not found	Atma.js	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://todomvc.com/examples/componentjs	not found	ComponentJS	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/tastejs/todomvc/wiki	ok	contribution guidelines	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/tastejs/todomvc-app-template	ok	template	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/tastejs/todomvc/blob/master/app-spec.md	ok	app specification	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/addyosmani	ok	<img src="http://gravatar.com/avatar/96270e4c3e5e9806cf7245475c00b275?s=80" width="40" height="40" alt="Addy Osmani">Addy	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/examples/backbone/	https://github.com/addyosmani	ok	<img src="http://gravatar.com/avatar/96270e4c3e5e9806cf7245475c00b275?s=80" width="40" height="40" alt="Addy Osmani">Addy	02.09.2018  10:14:05	Backbone.js • TodoMVC
http://todomvc.com/	http://gravatar.com/avatar/96270e4c3e5e9806cf7245475c00b275?s=80	ok	Addy Osmani	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/sindresorhus	ok	<img src="http://gravatar.com/avatar/d36a92237c75c5337c17b60d90686bf9.png?s=80" width="40" height="40" alt="Sindre Sorhus">Sindre	02.09.2018  10:14:05	TodoMVC
http://github.com/sindresorhus	https://github.com/sindresorhus	ok	<img src="http://gravatar.com/avatar/d36a92237c75c5337c17b60d90686bf9.png?s=80" width="40" height="40" alt="Sindre Sorhus">Sindre		Sindre Sorhus
http://todomvc.com/	http://gravatar.com/avatar/d36a92237c75c5337c17b60d90686bf9.png?s=80	ok	Sindre Sorhus	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/passy	ok	<img src="http://gravatar.com/avatar/be451fcdbf0e5ff07f23ed16cb5c90a3.png?s=80" width="40" height="40" alt="Pascal Hartig">Pascal	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	http://gravatar.com/avatar/be451fcdbf0e5ff07f23ed16cb5c90a3.png?s=80	ok	Pascal Hartig	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/stephenplusplus	ok	<img src="http://gravatar.com/avatar/098cfe2d360e77c3229f2cd5298354c4?s=80" width="40" height="40" alt="Stephen Sawchuk">Stephen	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/examples/sammyjs/	https://github.com/stephenplusplus	ok	<img src="http://gravatar.com/avatar/098cfe2d360e77c3229f2cd5298354c4?s=80" width="40" height="40" alt="Stephen Sawchuk">Stephen	02.09.2018  10:14:05	Sammy.js • TodoMVC
http://todomvc.com/	http://gravatar.com/avatar/098cfe2d360e77c3229f2cd5298354c4?s=80	ok	Stephen Sawchuk	02.09.2018  10:14:05	TodoMVC
http://todomvc.com/	https://github.com/colineberhardt	ok	<img src="http://gravatar.com/avatar/73bba00b41ff1c9ecc3ee29487bace7d?s=80" width="40" height="40" alt="Colin Eberhardt">Colin	02.09.2018  10:14:05	TodoMVC
http://github.com/colineberhardt	https://github.com/colineberhardt	ok	<img src="http://gravatar.com/avatar/73bba00b41ff1c9ecc3ee29487bace7d?s=80" width="40" height="40" alt="Colin Eberhardt">Colin		Colin Eberhardt
http://todomvc.com/	http://gravatar.com/avatar/73bba00b41ff1c9ecc3ee29487bace7d?s=80	ok	Colin Eberhardt	02.09.2018  10:14:05	TodoMVC
